Name,Address,City,State,Zip,source,CISID,cluster_id,confidence
walmart sc imp 1403,250 furniture drive,cornelia,ga,30531,flna,1769848,68,0.977709949
walmart sc 4616,662 highway 75 s,cleveland,ga,305287183,flna,2446492,69,0.977709949
walmart sc imp 4616,662 highway 75 s,cleveland,ga,305287183,flna,2446493,69,0.977709949
bouldercrest pkg,2584 bouldercrest rd se,atlanta,ga,303164839,flna,793850,70,0.844144762
bouldercrest exxon,2701 bouldercrest rd se,atlanta,ga,303164859,flna,42188783,70,0.844144762
cascade food mart,799 cascade ave sw,atlanta,ga,303102457,flna,42328522,71,0.99537909
cascade food mart,787 cascade ave sw,atlanta,ga,303102457,flna,42320119,71,0.99537909
costal food mart,1701 turner mccall blvd se,rome,ga,301616077,flna,42079461,72,0.580597937
sonoco food mart,1714 turner mccall blvd sw,rome,ga,301616078,flna,42339982,72,0.580597937
chevron food mart,2038 s stone mountain rd,lithonia,ga,30058,flna,2061917,73,0.58314579
chevron food mart,2799 evans mill rd,lithonia,ga,300587478,flna,1289169,73,0.58314579
jodeco bp,3148 jodeco rd,mcdonough,ga,302535395,flna,42268239,74,0.421023667
jodeco food mart,3656 jodeco rd,mcdonough,ga,302535320,flna,42308367,74,0.421023667
texaco food mart,1870 glenwood ave se,atlanta,ga,303162312,flna,1586135,75,0.404768233
chevron food mart ev,1865 glenwood ave se,atlanta,ga,303162311,flna,1645796,75,0.404768233
marathon,1469 campbellton rd sw,atlanta,ga,303114005,flna,42345532,76,0.998213768
marathon,1469 campbellton rd sw,atlanta,ga,303114005,flna,1148851,76,0.998213768
walmart sc 5363,11449 tara blvd,lovejoy,ga,30250,flna,2183072,77,0.977709949
walmart sc imp 5363,11449 tara blvd,lovejoy,ga,30250,flna,2183073,77,0.977709949
walmart sc 5709,4949 bill gardner pkwy,locust grove,ga,302482910,flna,2505221,78,0.977709949
walmart sc imp 5709,4949 bill gardner pkwy,locust grove,ga,302482910,flna,2505222,78,0.977709949
walmart sc 3201,101 willow ln,mcdonough,ga,302536574,flna,1965365,79,0.977709949
walmart sc imp 3201,101 willow ln,mcdonough,ga,302536574,flna,1965366,79,0.977709949
